"timestamp","label","/INPUTS","ga.baselineOceanVoyPowerUse","ga.baselineTotalPowerUse","ga.bladeLength[0]","ga.numBulbs[0]","ga.panelEff[0]","ga.panelRating[0]","ga.surfaceArea[0]","ga.tileCount[0]","ga.turbineCount[0]","/OUTPUTS","Constraint ( ga.breakEvenYear-4<0.0 )[0]","Constraint ( ga.totalInitialInvestment-400000<0.0 )[0]","Objective_0","driver.workflow.itername","ga.breakEvenYear","ga.originalEnergyCost","ga.totalEnergyCost","ga.totalEnergySaved","ga.totalFlowProtein","ga.totalInitialInvestment","ga.totalPowerConsumed","ga.totalPowerProduced","ga.totalPowerProtein","ga.totalPowerSand","ga.year5Roi","/METADATA","retries","max_retries","parent_uuid","msg"
1406245114.496,"","",16522761.0,27765028.9,1.8147833083448039,3.1341075733720771,0.2173791734693869,259.19810032070791,164.76191442124144,99.501632434197873,3.1479069747534645,"",101.66666666666667,9248907.1562815607,9192325.9866762664,"2",105.66666666666667,2776502.89,2685186.6560789412,870958.79753286578,57997.59164290734,9648907.1562815607,26851866.56078941,42203.541677724934,4069989.9108448913,11581286.691622244,-9192325.9866762664,"","","","",""
1406245114.509,"","",16522761.0,27765028.9,2.2233442930403973,8.7593889200919506,0.065935941417633953,398.31116054204534,440.30271473493065,9.6381908451916729,8.0904561155906762,"",1126.1666666666667,102992762.81298113,102935320.34906027,"3",1130.1666666666667,2776502.89,2685014.3972158274,870958.79753286578,57997.59164290734,103392762.81298113,26850143.972158272,43926.130308863605,4069989.9108448913,11581286.691622244,-102935320.34906027,"","","","",""
1406245114.519,"","",16522761.0,27765028.9,2.2256588851888139,9.4404880679648393,0.15349788218476854,116.59599166966066,702.96690762560638,92.778515803311222,23.641573900824611,"",744.4166666666666,76268475.330343038,76156217.149717256,"4",748.4166666666666,2776502.89,2674051.253874843,870958.79753286578,57997.59164290734,76668475.330343038,26740512.538748428,153557.56371870684,4069989.9108448913,11581286.691622244,-76156217.149717256,"","","","",""
1406245114.541,"","",16522761.0,27765028.9,1.56674031253038,38.959328599951817,0.14040312185242015,180.56288939318233,874.00290704135432,45.670687740216906,12.215487527994359,"",1799.9166666666667,182465164.85323557,182358295.18962887,"5",1803.9166666666667,2776502.89,2675128.95727866,870958.79753286578,57997.59164290734,182865164.85323557,26751289.572786599,142780.52968053526,4069989.9108448913,11581286.691622244,-182358295.18962887,"","","","",""
1406245114.55,"","",16522761.0,27765028.9,1.938001629101038,29.574180921073633,0.11197319543573889,296.11547339069233,337.91496990154945,30.733527827712692,5.5285348736318349,"",486.6666666666667,44668344.761351272,44609073.318158314,"6",490.6666666666667,2776502.89,2684648.6013614084,870958.79753286578,57997.59164290734,45068344.761351272,26846486.013614081,47584.088853052039,4069989.9108448913,11581286.691622244,-44609073.318158314,"","","","",""
1406245114.564,"","",16522761.0,27765028.9,2.4572707510130964,23.96998149256277,0.20905607040542937,371.36958048529448,465.6489015651606,66.50945268704325,1.0517053337616797,"",1077.5833333333333,105469599.23249048,105380169.97109729,"7",1081.5833333333333,2776502.89,2678617.0377213615,870958.79753286578,57997.59164290734,105869599.23249048,26786170.377213612,107899.72525352178,4069989.9108448913,11581286.691622244,-105380169.97109729,"","","","",""
1406245114.588,"","",16522761.0,27765028.9,1.7484201066803258,16.053931183248487,0.20160804304816554,298.72234384018498,868.17175661824058,74.510310148514549,2.250835358909665,"",2781.75,295872876.45130801,295741102.80558056,"8",2785.75,2776502.89,2670148.160854511,870958.79753286578,57997.59164290734,296272876.45130801,26701481.608545106,192588.49392202735,4069989.9108448913,11581286.691622244,-295741102.80558056,"","","","",""
1406245114.612,"","",16522761.0,27765028.9,1.7362614428020771,33.611714079890966,0.11663524537464456,255.64737470071549,895.75759116617041,25.202854228587622,22.460670697534134,"",2704.8333333333335,271974890.76140535,271872127.75721276,"9",2708.8333333333335,2776502.89,2675950.2891614828,870958.79753286578,57997.59164290734,272374890.76140535,26759502.891614828,134567.21085230593,4069989.9108448913,11581286.691622244,-271872127.75721276,"","","","",""
1406245114.626,"","",16522761.0,27765028.9,1.8310091877778145,33.258040849504937,0.22843765696777746,100.51182137001189,980.97681735007131,14.483000198914475,21.614124533319984,"",1113.3333333333333,126651261.46323331,126482694.97750646,"10",1117.3333333333333,2776502.89,2662789.5928546316,870958.79753286578,57997.59164290734,127051261.46323331,26627895.928546313,266174.1739208232,4069989.9108448913,11581286.691622244,-126482694.97750646,"","","","",""
1406245114.64,"","",16522761.0,27765028.9,2.3069099275818012,32.09730847457913,0.23827925568685707,348.40442103942553,491.67151263279197,65.960379024215882,21.096362207519462,"",1067.3333333333333,110275803.09034364,110159263.31788993,"11",1071.3333333333333,2776502.89,2673194.935509257,870958.79753286578,57997.59164290734,110675803.09034364,26731949.35509257,162120.7473745649,4069989.9108448913,11581286.691622244,-110159263.31788993,"","","","",""
