"timestamp","label","/INPUTS","ga.baselineOceanVoyPowerUse","ga.baselineTotalPowerUse","ga.bladeLength[0]","ga.numBulbs[0]","ga.panelEff[0]","ga.panelRating[0]","ga.surfaceArea[0]","ga.tileCount[0]","ga.turbineCount[0]","/OUTPUTS","Constraint ( ga.breakEvenYear-8<0.0 )[0]","Constraint ( ga.totalInitialInvestment-400000<0.0 )[0]","Objective_0","driver.workflow.itername","ga.breakEvenYear","ga.originalEnergyCost","ga.totalEnergyCost","ga.totalEnergySaved","ga.totalFlowProtein","ga.totalInitialInvestment","ga.totalPowerConsumed","ga.totalPowerProduced","ga.totalPowerProtein","ga.totalPowerSand","ga.year5Roi","/METADATA","retries","max_retries","parent_uuid","msg"
1406245225.468,"","",16522761.0,27765028.9,1.9958514297055641,34.299105000985534,0.067373411668894975,394.6124047545735,382.44232346970375,39.560595146609579,8.3130969648787829,"",842.3333333333334,76911965.477328733,76857354.590431064,"2",850.3333333333334,2776502.89,2685580.712620466,870958.79753286578,57997.59164290734,77311965.477328733,26855807.126204658,38262.976262474993,4069989.9108448913,11581286.691622244,-76857354.590431064,"","","","",""
1406245225.477,"","",16522761.0,27765028.9,2.0099982460770196,38.979907265666121,0.0858175799154694,324.16296659086407,346.27216020371156,38.830606418852476,3.6386125842259194,"",564.1666666666666,51536930.405163899,51483010.651360556,"3",572.1666666666666,2776502.89,2685718.9392393315,870958.79753286578,57997.59164290734,51936930.405163899,26857189.392393313,36880.710073821232,4069989.9108448913,11581286.691622244,-51483010.651360556,"","","","",""
1406245225.491,"","",16522761.0,27765028.9,1.6338934036031414,31.024324492373939,0.1597340070673115,388.22101391781058,499.94339451613155,92.577422443398802,3.8888320292971343,"",1329.9166666666667,128183154.82235308,128102613.15736318,"4",1337.9166666666667,2776502.89,2680394.5570020191,870958.79753286578,57997.59164290734,128583154.82235308,26803945.570020188,90124.532446946963,4069989.9108448913,11581286.691622244,-128102613.15736318,"","","","",""
1406245225.504,"","",16522761.0,27765028.9,1.9022229742057257,6.8236185492172918,0.12784297164803279,424.05506745947537,441.63113439882062,39.083041331952373,0.82344989923826617,"",1170.5,109587250.14911571,109520589.14849231,"5",1178.5,2776502.89,2683170.6898753205,870958.79753286578,57997.59164290734,109987250.14911571,26831706.898753203,62363.203713932817,4069989.9108448913,11581286.691622244,-109520589.14849231,"","","","",""
1406245225.512,"","",16522761.0,27765028.9,1.8607381789620718,12.967154179143474,0.11767614455544374,307.73264440410929,283.64771958037051,37.040053959412646,23.189059115856629,"",347.9166666666667,32768381.245641623,32702354.805551991,"6",355.9166666666667,2776502.89,2683297.6019820739,870958.79753286578,57997.59164290734,33168381.245641623,26832976.019820739,61094.082646395822,4069989.9108448913,11581286.691622244,-32702354.805551991,"","","","",""
1406245225.518,"","",16522761.0,27765028.9,1.5518290071409324,27.508135445653163,0.073460850544910819,114.50806193516169,259.15018328279172,32.193834081150669,16.312783698384813,"",109.58333333333333,10220348.440448858,10168448.222281395,"7",117.58333333333333,2776502.89,2686122.8463665075,870958.79753286578,57997.59164290734,10620348.440448858,26861228.463665072,32841.638802061163,4069989.9108448913,11581286.691622244,-10168448.222281395,"","","","",""
1406245225.525,"","",16522761.0,27765028.9,1.8287242045358028,1.3899903169022565,0.15105305508727357,413.48887172085927,243.66119141430943,30.669806993464277,14.098512723357246,"",345.6666666666667,32332045.957777835,32269266.910255376,"8",353.6666666666667,2776502.89,2683947.0804955084,870958.79753286578,57997.59164290734,32732045.957777835,26839470.804955084,54599.297512050602,4069989.9108448913,11581286.691622244,-32269266.910255376,"","","","",""
1406245225.558,"","",16522761.0,27765028.9,1.7777050183683256,21.670230286054707,0.087061584647325663,338.12989290794087,938.62609575633894,96.413439052705968,6.9608019028327552,"",4100.916666666667,396803389.83560497,396720044.04031664,"9",4108.916666666667,2776502.89,2679833.7309423313,870958.79753286578,57997.59164290734,397203389.83560497,26798337.309423313,95732.793043820333,4069989.9108448913,11581286.691622244,-396720044.04031664,"","","","",""
1406245225.569,"","",16522761.0,27765028.9,1.6340692484891743,4.3650937055207137,0.2187850322982646,395.6009571690372,376.44804098312801,21.14446802397315,18.667413488814791,"",749.6666666666666,73538653.69656679,73450677.717805088,"10",757.6666666666666,2776502.89,2678907.6942476588,870958.79753286578,57997.59164290734,73938653.69656679,26789076.942476586,104993.15999055044,4069989.9108448913,11581286.691622244,-73450677.717805088,"","","","",""
1406245225.581,"","",16522761.0,27765028.9,1.8616703613131249,1.8711718159162842,0.24389232179839132,235.59621256482518,609.97899614581524,24.147485965964719,8.6373860011923682,"",1094.8333333333333,114521948.75234842,114400915.63612579,"11",1102.8333333333333,2776502.89,2672296.2667554743,870958.79753286578,57997.59164290734,114921948.75234842,26722962.66755474,171107.43491239534,4069989.9108448913,11581286.691622244,-114400915.63612579,"","","","",""
1406245225.589,"","",16522761.0,27765028.9,2.0471894698652848,35.650521304452006,0.1777873898029336,166.7013765559382,468.1780289855991,28.183256720450046,15.648061576254809,"",485.5833333333333,48058025.876614057,47967145.967330724,"12",493.5833333333333,2776502.89,2678326.9081433346,870958.79753286578,57997.59164290734,48458025.876614057,26783269.081433345,110801.02103379072,4069989.9108448913,11581286.691622244,-47967145.967330724,"","","","",""
1406245225.597,"","",16522761.0,27765028.9,1.6846050738720657,32.61979546552719,0.19502066765904738,144.42500181465036,440.56520229024432,78.159085418366502,11.810515675741232,"",374.5833333333333,36888041.524054028,36800637.280872561,"13",382.5833333333333,2776502.89,2679022.0413637068,870958.79753286578,57997.59164290734,37288041.524054028,26790220.413637068,103849.68883006817,4069989.9108448913,11581286.691622244,-36800637.280872561,"","","","",""
1406245225.603,"","",16522761.0,27765028.9,1.8743486047804512,4.2076011438593852,0.12669340139187349,123.94271928503508,189.86100077560644,91.205279033014762,22.183798200191152,"",61.33333333333333,5983852.3355415277,5923251.2330599222,"14",69.33333333333333,2776502.89,2684382.669503679,870958.79753286578,57997.59164290734,6383852.3355415277,26843826.695036788,50243.407430346444,4069989.9108448913,11581286.691622244,-5923251.2330599222,"","","","",""
1406245225.608,"","",16522761.0,27765028.9,2.0506585391795316,25.668237112800163,0.16559854624254403,234.78614470202106,109.59407931227747,61.018461169695826,16.82375829570843,"",37.5,3744813.223726958,3688539.0248275157,"15",45.5,2776502.89,2685248.0502201119,870958.79753286578,57997.59164290734,4144813.223726958,26852480.502201118,41589.600266017122,4069989.9108448913,11581286.691622244,-3688539.0248275157,"","","","",""
1406245225.62,"","",16522761.0,27765028.9,1.5346507597747836,2.6600507212844136,0.1014799328796637,118.05288238577063,808.35889498724714,50.40729366783485,18.535018016490021,"",1049.4166666666667,102558527.12734489,102471679.63681863,"16",1057.4166666666667,2776502.89,2679133.3918947489,870958.79753286578,57997.59164290734,102958527.12734489,26791333.918947488,102736.18351964654,4069989.9108448913,11581286.691622244,-102471679.63681863,"","","","",""
1406245225.648,"","",16522761.0,27765028.9,1.6867721357136962,34.418519639951299,0.13608636615475678,436.00520736374506,757.11901626987128,43.382128824598134,2.1666514103325678,"",3355.6666666666665,330906527.00558043,330814036.99876803,"17",3363.6666666666665,2776502.89,2678004.888637518,870958.79753286578,57997.59164290734,331306527.00558043,26780048.886375178,114021.21609195853,4069989.9108448913,11581286.691622244,-330814036.99876803,"","","","",""
1406245225.656,"","",16522761.0,27765028.9,2.3280231944408962,27.705293348091317,0.11613239631194258,208.5124142779174,404.13694610391894,53.78615601910689,17.315427898146538,"",470.9166666666667,45141096.90050441,45065602.808363184,"18",478.9166666666667,2776502.89,2681404.0715717543,870958.79753286578,57997.59164290734,45541096.90050441,26814040.715717539,80029.386749596393,4069989.9108448913,11581286.691622244,-45065602.808363184,"","","","",""
1406245225.661,"","",16522761.0,27765028.9,2.285561124329246,17.439155912689298,0.14312106729025056,185.98345866156234,32.042951742039861,69.301945607809159,7.0732579084959726,"",-0.75,242628.73168302467,198943.3946739505,"19",7.25,2776502.89,2687765.8225981854,870958.79753286578,57997.59164290734,642628.73168302467,26877658.225981854,16411.876485280547,4069989.9108448913,11581286.691622244,-198943.3946739505,"","","","",""
1406245225.674,"","",16522761.0,27765028.9,2.3447070548273832,0.77915176240841433,0.2265328096247152,314.38069222570437,550.15596961845563,71.716507037760167,21.415020267842173,"",1191.5833333333333,124702888.60259816,124581440.02547415,"20",1199.5833333333333,2776502.89,2672213.174575198,870958.79753286578,57997.59164290734,125102888.60259816,26722131.745751977,171938.35671515579,4069989.9108448913,11581286.691622244,-124581440.02547415,"","","","",""
1406245225.686,"","",16522761.0,27765028.9,2.2662798860988529,34.728705909792559,0.13633658685242328,170.19940271034406,665.65498206090706,16.904402482483341,3.2095490528249915,"",1018.4166666666667,99646646.837391496,99559251.076688007,"21",1026.4166666666667,2776502.89,2679023.7378593031,870958.79753286578,57997.59164290734,100046646.8373915,26790237.378593028,103832.72387410807,4069989.9108448913,11581286.691622244,-99559251.076688007,"","","","",""
