"timestamp","label","/INPUTS","ga.baselineOceanVoyPowerUse","ga.baselineTotalPowerUse","ga.bladeLength[0]","ga.numBulbs[0]","ga.panelEff[0]","ga.panelRating[0]","ga.surfaceArea[0]","ga.tileCount[0]","ga.turbineCount[0]","/OUTPUTS","Constraint ( ga.breakEvenYear-10<0.0 )[0]","Constraint ( ga.totalInitialInvestment-400000<0.0 )[0]","Objective_0","driver.workflow.itername","ga.breakEvenYear","ga.originalEnergyCost","ga.totalEnergyCost","ga.totalEnergySaved","ga.totalFlowProtein","ga.totalInitialInvestment","ga.totalPowerConsumed","ga.totalPowerProduced","ga.totalPowerProtein","ga.totalPowerSand","ga.year5Roi","/METADATA","retries","max_retries","parent_uuid","msg"
1406245281.902,"","",16522761.0,27765028.9,2.1707658346701839,18.264778039116187,0.15884942962824772,371.71057048644599,567.68496584624938,19.615027852811075,13.502827549422481,"",1591.5,157935676.31650519,157841323.48506808,"2",1601.5,2776502.89,2677632.3237125799,870958.79753286578,57997.59164290734,158335676.31650519,26776323.237125795,117746.86534133936,4069989.9108448913,11581286.691622244,-157841323.48506808,"","","","",""
1406245281.91,"","",16522761.0,27765028.9,1.5999059707449801,34.562491741443807,0.050549339646425731,398.72969750311762,204.70808182166223,75.494515441708415,22.512123039192577,"",243.33333333333334,22393227.803159207,22343218.387675304,"3",253.33333333333334,2776502.89,2686501.0069032195,870958.79753286578,57997.59164290734,22793227.803159207,26865010.069032192,29060.033434941259,4069989.9108448913,11581286.691622244,-22343218.387675304,"","","","",""
1406245281.919,"","",16522761.0,27765028.9,2.3164153784617074,1.6782063356405175,0.084931572146589432,397.71422042018054,306.80991853661976,41.741488923764713,9.173821128856483,"",539.3333333333334,49830879.891791858,49773625.652608693,"4",549.3333333333334,2776502.89,2685052.0421633665,870958.79753286578,57997.59164290734,50230879.891791858,26850520.421633665,43549.680833468308,4069989.9108448913,11581286.691622244,-49773625.652608693,"","","","",""
1406245281.927,"","",16522761.0,27765028.9,2.3245723251749344,23.426876029390634,0.14079105865189259,106.72512897185493,536.40522949034198,92.059695442215258,3.8845284230335171,"",417.1666666666667,40585637.670703992,40505819.392535768,"5",427.1666666666667,2776502.89,2680539.2343663559,870958.79753286578,57997.59164290734,40985637.670703992,26805392.343663558,88677.758803576726,4069989.9108448913,11581286.691622244,-40505819.392535768,"","","","",""
1406245281.948,"","",16522761.0,27765028.9,1.9722693194037983,22.824309277218632,0.13293829386976447,318.26639199754607,747.18449174259854,36.001021176860789,14.063184531058893,"",2357.25,235358262.31897807,235260303.37405166,"6",2367.25,2776502.89,2676911.1010147198,870958.79753286578,57997.59164290734,235758262.31897807,26769111.010147195,124959.09231993886,4069989.9108448913,11581286.691622244,-235260303.37405166,"","","","",""
1406245281.967,"","",16522761.0,27765028.9,2.0460302677383582,15.409843457366218,0.2250591104150074,315.45960060412784,706.91498581610108,77.505295425487105,12.646487785414514,"",1940.6666666666667,206446256.58596992,206316046.84106222,"7",1950.6666666666667,2776502.89,2670460.9410184585,870958.79753286578,57997.59164290734,206846256.58596992,26704609.410184585,189460.69228255056,4069989.9108448913,11581286.691622244,-206316046.84106222,"","","","",""
1406245281.987,"","",16522761.0,27765028.9,1.8165925954483066,18.878993009784907,0.077845800945063631,228.25855524802367,838.18825388641585,29.242585034173409,15.410357550327747,"",2225.6666666666665,213695561.45392668,213616737.42746839,"8",2235.6666666666665,2776502.89,2680738.0847083442,870958.79753286578,57997.59164290734,214095561.45392668,26807380.847083438,86689.255383697862,4069989.9108448913,11581286.691622244,-213616737.42746839,"","","","",""
1406245282.013,"","",16522761.0,27765028.9,2.0083955059735921,8.6093249147616824,0.22582576219115641,312.56292469617773,904.87739352719882,74.852026584585104,20.951906144807459,"",2991.4166666666665,335573691.66466933,335413998.59883654,"9",3001.4166666666665,2776502.89,2664564.2768334416,870958.79753286578,57997.59164290734,335973691.66466933,26645642.768334415,248427.33413272156,4069989.9108448913,11581286.691622244,-335413998.59883654,"","","","",""
1406245282.019,"","",16522761.0,27765028.9,2.4484971748936779,15.893795145556687,0.23866668083326922,176.40144446544042,291.96642054112306,26.072304900267827,14.674094916555255,"",195.5,19609020.845510308,19522061.39674066,"10",205.5,2776502.89,2679111.0002460708,870958.79753286578,57997.59164290734,20009020.845510308,26791110.002460707,102960.10000642826,4069989.9108448913,11581286.691622244,-19522061.39674066,"","","","",""
1406245282.031,"","",16522761.0,27765028.9,2.0467060621356827,30.50353423425819,0.22066893634996448,116.03028110081746,834.45392373241134,95.617447917099952,8.5553345440665431,"",972.4166666666666,105935561.58659351,105794363.60810371,"11",982.4166666666666,2776502.89,2668263.2943020393,870958.79753286578,57997.59164290734,106335561.58659351,26682632.943020392,211437.15944674207,4069989.9108448913,11581286.691622244,-105794363.60810371,"","","","",""
