"timestamp","label","/INPUTS","ga.baselineOceanVoyPowerUse","ga.baselineTotalPowerUse","ga.bladeLength[0]","ga.numBulbs[0]","ga.panelEff[0]","ga.panelRating[0]","ga.surfaceArea[0]","ga.tileCount[0]","ga.turbineCount[0]","/OUTPUTS","Constraint ( ga.breakEvenYear-13<0.0 )[0]","Constraint ( ga.totalInitialInvestment-400000<0.0 )[0]","Objective_0","driver.workflow.itername","ga.breakEvenYear","ga.originalEnergyCost","ga.totalEnergyCost","ga.totalEnergySaved","ga.totalFlowProtein","ga.totalInitialInvestment","ga.totalPowerConsumed","ga.totalPowerProduced","ga.totalPowerProtein","ga.totalPowerSand","ga.year5Roi","/METADATA","retries","max_retries","parent_uuid","msg"
1406245363.564,"","",16522761.0,27765028.9,2.0626014753787247,39.063532602756375,0.10950083223164672,250.29252193971624,114.83981124962571,77.736052146278226,21.449073457409128,"",39.75,4409276.0320872702,4352868.7864467036,"2",52.75,2776502.89,2685221.4408718869,870958.79753286578,57997.59164290734,4809276.0320872702,26852214.408718865,41855.693748270656,4069989.9108448913,11581286.691622244,-4352868.7864467036,"","","","",""
1406245363.569,"","",16522761.0,27765028.9,2.4422698946538683,5.3586886769540421,0.24426237757814037,293.14954856181845,22.273077042800367,0.64456736146153304,2.5749067720024019,"",-7.583333333333333,72579.380825815431,31771.656758302532,"3",5.416666666666667,2776502.89,2688341.3451864976,870958.79753286578,57997.59164290734,472579.38082581543,26883413.451864973,10656.65060216171,4069989.9108448913,11581286.691622244,-31771.656758302532,"","","","",""
1406245363.578,"","",16522761.0,27765028.9,2.017773813603688,29.975245819336543,0.22190529464114628,104.36440239317079,647.44776117512492,12.091146899275259,4.2441789029387138,"",544.75,57191003.029071331,57074696.780420661,"4",557.75,2776502.89,2673241.6402698662,870958.79753286578,57997.59164290734,57591003.029071331,26732416.402698662,161653.69976847389,4069989.9108448913,11581286.691622244,-57074696.780420661,"","","","",""
1406245363.585,"","",16522761.0,27765028.9,1.59320754888215,21.441937166076958,0.15843581689473346,311.31741371764588,262.80039844535384,26.786800059302387,5.2599339951170139,"",299.25,28334088.724922672,28273894.185946666,"5",312.25,2776502.89,2684463.9822047991,870958.79753286578,57997.59164290734,28734088.724922672,26844639.82204799,49430.28041914299,4069989.9108448913,11581286.691622244,-28273894.185946666,"","","","",""
1406245363.599,"","",16522761.0,27765028.9,1.743573744096186,8.0535704423674837,0.24911734307174638,159.71600247725189,822.34124939203707,58.149819483406539,0.56017276430624108,"",1280.9166666666667,141199414.6936661,141052215.14011922,"6",1293.9166666666667,2776502.89,2667062.9792906251,870958.79753286578,57997.59164290734,141599414.6936661,26670629.792906247,223440.3095608858,4069989.9108448913,11581286.691622244,-141052215.14011922,"","","","",""
1406245363.604,"","",16522761.0,27765028.9,1.6453340236165959,13.360132120830066,0.16458631335099905,338.57431245658205,14.290641798563115,18.606319863553232,1.5172788014613889,"",-8.416666666666668,-1911.2055451364722,-39307.063829142367,"7",4.583333333333333,2776502.89,2689023.7183431992,870958.79753286578,57997.59164290734,398088.79445486353,26890237.18343199,3832.9190351433126,4069989.9108448913,11581286.691622244,39307.063829142367,"","","","",""
1406245363.614,"","",16522761.0,27765028.9,2.4578378657913578,24.639347637679187,0.19394282719805417,376.46076697172282,354.06876015912133,12.34907207791062,20.413000854347445,"",621.5,62014488.701150805,61922633.111323729,"8",634.5,2776502.89,2678131.772034585,870958.79753286578,57997.59164290734,62414488.701150805,26781317.720345847,112752.38212128676,4069989.9108448913,11581286.691622244,-61922633.111323729,"","","","",""
1406245363.627,"","",16522761.0,27765028.9,2.400860663887745,16.015959030670963,0.15072760570438729,286.96310583119725,399.50658723800615,29.124848907754053,24.836209785598399,"",608.3333333333334,60523933.528637357,60433612.67105341,"9",621.3333333333334,2776502.89,2678438.7184832101,870958.79753286578,57997.59164290734,60923933.528637357,26784387.1848321,109682.91763503355,4069989.9108448913,11581286.691622244,-60433612.67105341,"","","","",""
1406245363.645,"","",16522761.0,27765028.9,1.7546489868594226,20.88294806667534,0.077300047115951259,181.97565766516573,831.64087020674515,98.812297588473598,20.331012051619734,"",1737.8333333333333,167717259.75541514,167637136.31975475,"10",1750.8333333333333,2776502.89,2680478.2028679242,870958.79753286578,57997.59164290734,168117259.75541514,26804782.02867924,89288.073787892979,4069989.9108448913,11581286.691622244,-167637136.31975475,"","","","",""
1406245363.66,"","",16522761.0,27765028.9,2.2190639292434802,29.027922066933346,0.24499792534388859,256.1435096459054,538.48123219427532,9.3965786866493133,16.208340405363984,"",925.3333333333334,97101005.209310845,96981445.429494306,"11",938.3333333333334,2776502.89,2672590.9340366926,870958.79753286578,57997.59164290734,97501005.209310845,26725909.340366926,168160.76210020832,4069989.9108448913,11581286.691622244,-96981445.429494306,"","","","",""
