pumpFlow,pumpRatedHead,pumpRatedRpm,pumpRunRpm,pumpEff,flowLossCoeff,heatExchFlowLossCoef,heatExchValveOpen,denitFlowLossCoef,ozoneFlowLossCoef,ozoneValveOpen,denitValveOpen,deaerationFlowLossCoef,pumpEffOut,pumpPower,pumpFlow,headExchFlow,heatExch2Flow,sandPowerOut,sandPowerIn,sandFlow,heatExchPowerIn,heatExchPowerOut,juncPowerIn,ozone1_6Flow,ozone1_6PowerIn,denitrifictionPowerIn,denitrificationFlow,denitificationPowerOut,ozone7_12Flow,deareationPowerIn,deareationFlow,powerIn,bypassFlow,deareationPowerOut
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,6,0.1,1,0.1,0.545156454,16.26394436,1638.362152,-58327.99585,-648.6824699,44.32678019,44.32912403,-901.9248627,42.73804217,42.73682813,43.96671879,-466.1237252,42.22084903,43.96112866,-4414.199215,42.2768581,-735.6998692,42.18328751,-58976.67832,31.92521931,-51765.73675,32.16143683
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,6,1,0.1,0.1,0.539873405,16.25114149,1657.658636,-59015.18385,-656.1167157,44.05033847,44.05273925,-912.8152,42.42401674,42.42277472,43.67619353,-2468.388276,43.47763637,42.77921673,-1972.321249,42.44296693,-328.7202082,42.42428638,-59671.30057,31.92329455,-42888.64966,32.1649775
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,6,1,1,2,0.436886138,11.70448401,538.1842927,-19152.86964,-220.1962021,53.83652058,53.83675969,-288.070686,53.66442104,53.66427869,53.79518818,-821.5179539,53.76990359,53.79079924,-1227.921103,53.66046519,-204.6535172,53.65322441,-19373.06584,31.99768766,-13216.03702,32.02468129
1300,40,1000,1000,0.6,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.5461491,16.26608386,1634.766922,-54988.91224,-3858.349038,44.37788111,44.38021361,-899.8934954,42.95805029,42.91504165,44.00255698,-482.8964124,42.13604963,42.16008802,-2889.079443,42.13604576,-481.5132418,42.13537792,-58847.26128,31.92560193,-53060.80337,32.16073438
1300,40,1000,1000,0.6,0.1,0.1,1,0.1,0.1,0.1,1,2,0.436957677,11.70588046,538.3535011,-18046.76706,-1332.390071,53.83599285,53.83623211,-288.1634392,53.68192176,53.67679634,53.79311322,-116.3133972,53.6663942,53.78129492,-6231.745738,53.66942646,-1038.62429,53.66631901,-19379.15713,31.99768235,-12449.53102,32.02469186
1300,40,1000,1000,0.6,0.1,0.1,1,0.1,0.1,1,0.1,2,0.437200806,11.71062881,538.9139126,-18065.6192,-1333.711887,53.83424186,53.83448163,-288.4708485,53.67984847,53.67471286,53.79006198,-1525.306397,53.71816446,53.7123371,-533.6138755,53.71151696,-88.93564599,53.71145947,-19399.33109,31.99766407,-9713.878832,32.02472827
1300,40,1000,1000,0.6,0.1,0.1,1,0.1,0.1,1,1,0.1,0.532755124,16.23073902,1681.792957,-56578.83973,-3961.232627,43.69891812,43.70139098,-926.439722,42.18744853,42.14222591,43.29703357,-3214.254221,42.75897398,43.20808287,-12723.54151,42.74211248,-2120.590251,42.72916885,-60540.07236,31.92085954,-28531.00553,32.16945324
1300,40,1000,1000,0.6,0.1,0.1,1,0.1,6,0.1,0.1,2,0.436402567,11.69505328,537.0758341,-18003.78567,-1329.377378,53.83997263,53.84021073,-287.4626245,53.68663241,53.68153013,53.79857119,-169.4570447,53.56860839,53.57154273,-1013.913857,53.56858068,-168.9856431,53.56364392,-19333.16305,31.99772393,-17302.50693,32.02460904
1300,40,1000,1000,0.6,0.1,0.1,1,0.1,6,0.1,1,0.1,0.540868381,16.25372141,1654.316351,-55648.32173,-3902.667219,44.0985517,44.10094171,-910.9259149,42.6445935,42.60059187,43.70930616,-389.3293123,42.40503373,43.6603546,-12917.94045,43.17978346,-2152.990077,42.37883155,-59550.98895,31.92365757,-44297.07263,32.16431173
1300,40,1000,1000,0.6,0.1,0.1,1,0.1,6,1,0.1,0.1,0.53994975,16.25134176,1657.579937,-55758.40274,-3910.066661,44.05151683,44.05391653,-912.7680163,42.59178742,42.54761856,43.65942992,-2450.111609,43.45742828,42.46025462,-2294.737292,42.44508803,-382.4562166,42.41981038,-59668.4694,31.92333028,-42673.06246,32.16491359
