ratedSpeed,flc,ratedEff,ratedHead,ratedFlow,csa,runSpeed,pumpHp,totalFlowOut,pskFlow2,pskFlow1,pIn,pOut1
800,300,0.9,20,1300,0.1,800,5.191913666,35167.86142,-1040.362332,-1041.229525,2.204211114,2.859658206
800,300,0.9,20,1300,0.1,1600,40.55026628,70338.13558,-2080.755663,-2082.483869,2.197708433,4.821831243
800,300,0.9,20,1300,0.5,800,5.160179729,70648.21221,-2121.978346,-2128.965833,2.198176404,2.344336532
800,300,0.9,20,1300,0.5,1600,40.28981658,141316.5543,-4244.490199,-4258.458955,2.173542185,2.758690133
800,300,0.9,20,2000,0.1,800,6.885593673,37057.8642,-1097.008848,-1098.040667,2.203991014,2.933033629
800,300,0.9,20,2000,0.1,1600,54.09974079,74140.70513,-2194.048571,-2196.105188,2.197746859,5.114994285
800,300,0.9,20,2000,0.5,800,8.258292374,95749.32583,-2930.160793,-2949.199485,2.191454574,2.470680353
800,300,0.9,20,2000,0.5,1600,65.08004061,191538.8993,-5860.581581,-5898.61726,2.147493163,3.265592677
800,300,0.9,40,1300,0.1,800,10.888479,45727.37386,-1351.392392,-1352.327456,2.20283792,3.308366952
800,300,0.9,40,1300,0.1,1600,86.12285131,91456.98356,-2702.816741,-2704.681665,2.192209625,6.61832159
800,300,0.9,40,1300,0.5,800,9.828659835,74670.0144,-2221.836758,-2225.784853,2.197237965,2.357351216
800,300,0.9,40,1300,0.5,1600,77.6253622,149362.3511,-4444.319883,-4452.215743,2.169779481,2.810853203
800,300,0.9,40,2000,0.1,800,15.27112679,50440.34513,-1492.235936,-1493.516405,2.202107871,3.55079559
800,300,0.9,40,2000,0.1,1600,121.184066,100905.5199,-2984.500829,-2987.055131,2.190199251,7.58746097
800,300,0.9,40,2000,0.5,800,15.67918774,106665.4033,-3213.225884,-3225.407259,2.187901392,2.523144066
800,300,0.9,40,2000,0.5,1600,124.4392333,213370.434,-6426.868237,-6451.221401,2.133226194,3.476288896
1600,20,0.6,20,1300,0.1,800,1.126306017,33969.42573,-1019.064931,-1022.184153,2.204343352,2.254723581
1600,20,0.6,20,1300,0.1,1600,8.025650256,67956.45088,-2038.112452,-2044.324667,2.198775745,2.400004855
1600,20,0.6,20,1300,0.5,800,1.058667469,37479.76341,-1129.292705,-1133.510559,2.203408083,2.216261417
1600,20,0.6,20,1300,0.5,1600,7.487519925,74990.51447,-2258.101314,-2266.491366,2.19716099,2.248453252
1600,20,0.6,20,2000,0.1,800,1.716053844,44600.94088,-1358.374736,-1366.020314,2.20300164,2.292664252
1600,20,0.6,20,2000,0.1,1600,12.74304253,89217.23122,-2716.967821,-2732.21988,2.192876551,2.551411976
1600,20,0.6,20,2000,0.5,800,1.582796311,53824.6691,-1664.771152,-1678.703433,2.201015516,2.228550803
1600,20,0.6,20,2000,0.5,1600,11.67749333,107703.2458,-3329.641114,-3357.444159,2.187544923,2.297705744
1600,20,0.6,40,1300,0.1,800,2.010624941,36511.71477,-1086.544234,-1088.403079,2.203523107,2.260735697
1600,20,0.6,40,1300,0.1,1600,15.1042994,73053.04838,-2172.71144,-2176.409978,2.197621427,2.425977198
1600,20,0.6,40,1300,0.5,800,1.924560842,38547.25077,-1148.468728,-1150.655634,2.203277862,2.216644234
1600,20,0.6,40,1300,0.5,1600,14.41877356,77118.63161,-2296.370602,-2300.720526,2.196641524,2.249979262
1600,20,0.6,40,2000,0.1,800,3.14874509,51006.15919,-1534.242686,-1539.580586,2.201489387,2.315560691
1600,20,0.6,40,2000,0.1,1600,24.20514523,102057.4065,-3068.513533,-3079.161791,2.189447446,2.645810531
1600,20,0.6,40,2000,0.5,800,2.923812809,57102.64806,-1726.668529,-1734.215385,2.200433006,2.230351796
1600,20,0.6,40,2000,0.5,1600,22.40539869,114252.5548,-3453.410715,-3468.47481,2.185208371,2.304927325
1600,20,0.9,20,1300,0.1,800,0.806721194,33969.42573,-1019.064931,-1022.184153,2.204343352,2.254723581
1600,20,0.9,20,1300,0.1,1600,5.468836598,67956.45088,-2038.112452,-2044.324667,2.198775745,2.400004855
1600,20,0.9,20,1300,0.5,800,0.761628829,37479.76341,-1129.292705,-1133.510559,2.203408083,2.216261417
1600,20,0.9,20,1300,0.5,1600,5.110083044,74990.51447,-2258.101314,-2266.491366,2.19716099,2.248453252
1600,20,0.9,20,2000,0.1,800,1.199886412,44600.94088,-1358.374736,-1366.020314,2.20300164,2.292664252
1600,20,0.9,20,2000,0.1,1600,8.613764783,89217.23122,-2716.967821,-2732.21988,2.192876551,2.551411976
1600,20,0.9,20,2000,0.5,800,1.111048057,53824.6691,-1664.771152,-1678.703433,2.201015516,2.228550803
1600,20,0.9,20,2000,0.5,1600,7.903398649,107703.2458,-3329.641114,-3357.444159,2.187544923,2.297705744
1600,20,0.9,40,1300,0.1,800,1.396267143,36511.71477,-1086.544234,-1088.403079,2.203523107,2.260735697
1600,20,0.9,40,1300,0.1,1600,10.18793603,73053.04838,-2172.71144,-2176.409978,2.197621427,2.425977198
1600,20,0.9,40,1300,0.5,800,1.338891077,38547.25077,-1148.468728,-1150.655634,2.203277862,2.216644234
1600,20,0.9,40,1300,0.5,1600,9.730918798,77118.63161,-2296.370602,-2300.720526,2.196641524,2.249979262
1600,20,0.9,40,2000,0.1,800,2.155013909,51006.15919,-1534.242686,-1539.580586,2.201489387,2.315560691
1600,20,0.9,40,2000,0.1,1600,16.25516658,102057.4065,-3068.513533,-3079.161791,2.189447446,2.645810531
1600,20,0.9,40,2000,0.5,800,2.005059055,57102.64806,-1726.668529,-1734.215385,2.200433006,2.230351796
1600,20,0.9,40,2000,0.5,1600,15.05533556,114252.5548,-3453.410715,-3468.47481,2.185208371,2.304927325
1600,300,0.6,20,1300,0.1,800,1.109612858,17582.81525,-520.1668934,-520.6033574,2.205968391,2.369886048
1600,300,0.6,20,1300,0.1,1600,7.891752459,35167.86142,-1040.362332,-1041.229525,2.204211114,2.859658206
1600,300,0.6,20,1300,0.5,800,1.103578212,35315.74553,-1061.02181,-1064.530672,2.204193312,2.240794792
1600,300,0.6,20,1300,0.5,1600,7.844151554,70648.21221,-2121.978346,-2128.965833,2.198176404,2.344336532
1600,300,0.6,20,2000,0.1,800,1.427172557,18527.66892,-548.4882444,-549.0074066,2.205913598,2.388159987
1600,300,0.6,20,2000,0.1,1600,10.43227247,37057.8642,-1097.008848,-1098.040667,2.203991014,2.933033629
1600,300,0.6,20,2000,0.5,800,1.684546018,47848.86094,-1465.033585,-1474.57868,2.201990087,2.27179313
1600,300,0.6,20,2000,0.5,1600,12.49132052,95749.32583,-2930.160793,-2949.199485,2.191454574,2.470680353
1600,300,0.6,40,1300,0.1,800,2.177720831,22862.72803,-675.6839361,-676.1539254,2.205624986,2.482122388
1600,300,0.6,40,1300,0.1,1600,16.43660047,45727.37386,-1351.392392,-1352.327456,2.20283792,3.308366952
1600,300,0.6,40,1300,0.5,800,1.978313433,37321.2059,-1111.141847,-1113.126354,2.203427151,2.243545416
1600,300,0.6,40,1300,0.5,1600,14.84687171,74670.0144,-2221.836758,-2225.784853,2.197237965,2.357351216
1600,300,0.6,40,2000,0.1,800,2.999455863,25218.97565,-746.1026493,-746.7459615,2.205442925,2.54259476
1600,300,0.6,40,2000,0.1,1600,23.01057214,50440.34513,-1492.235936,-1493.516405,2.202107871,3.55079559
1600,300,0.6,40,2000,0.5,800,3.075926523,53309.90631,-1606.597202,-1612.702546,2.20110402,2.284894344
1600,300,0.6,40,2000,0.5,1600,23.62266357,106665.4033,-3213.225884,-3225.407259,2.187901392,2.523144066
1600,300,0.9,20,1300,0.1,800,0.795592422,17582.81525,-520.1668934,-520.6033574,2.205968391,2.369886048
1600,300,0.9,20,1300,0.1,1600,5.3795714,35167.86142,-1040.362332,-1041.229525,2.204211114,2.859658206
1600,300,0.9,20,1300,0.5,800,0.791569324,35315.74553,-1061.02181,-1064.530672,2.204193312,2.240794792
1600,300,0.9,20,1300,0.5,1600,5.347837463,70648.21221,-2121.978346,-2128.965833,2.198176404,2.344336532
1600,300,0.9,20,2000,0.1,800,1.007298888,18527.66892,-548.4882444,-549.0074066,2.205913598,2.388159987
1600,300,0.9,20,2000,0.1,1600,7.073251407,37057.8642,-1097.008848,-1098.040667,2.203991014,2.933033629
1600,300,0.9,20,2000,0.5,800,1.178881195,47848.86094,-1465.033585,-1474.57868,2.201990087,2.27179313
1600,300,0.9,20,2000,0.5,1600,8.445950108,95749.32583,-2930.160793,-2949.199485,2.191454574,2.470680353
